City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
322,spearfish,44.4908,-103.8594,-0.51,63,100,0.0,Spearfish,1679964023
323,kirksville,40.1948,-92.5833,7.55,49,0,3.6,Kirksville,1679964025
324,plainview,40.7765,-73.4673,7.7,85,100,5.58,Plainview,1679964026
325,tura,25.5198,90.2201,20.59,77,55,1.59,Tura,1679964027
326,sitka,57.0531,-135.33,8.94,53,0,5.14,Sitka,1679964029
327,viedma,-40.8135,-62.9967,25.65,42,0,7.71,Viedma,1679963915
328,bubaque,11.2833,-15.8333,25.32,71,79,3.81,Bubaque,1679964032
329,valdez,1.2492,-78.9831,26.37,75,100,2.42,Valdez,1679964033
330,cassilandia,-19.1133,-51.7342,22.93,65,5,0.11,Cassilândia,1679964034
331,hof,50.3167,11.9167,-0.05,83,75,6.26,Hof,1679964036
332,mariel,22.9875,-82.7536,27.08,76,2,4.0,Mariel,1679964037
333,mareeba,-17.0,145.4333,29.69,59,5,2.54,Mareeba,1679964038
334,mount gambier,-37.8333,140.7667,17.27,64,77,1.77,Mount Gambier,1679964040
335,ambulu,-8.345,113.6058,26.21,81,100,1.11,Ambulu,1679964041
336,broome,42.2506,-75.833,5.25,88,100,4.12,Broome,1679963528
